gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
KAP122,22.8445,18.9583,28.1073
PUF4,93.3558,123.358,73.8066
ERG4,221.819,221.09,194.618
MPO1,34.1222,25.3369,43.8448
YGL006W-A,0,0,0
PMC1,42.708,28.4702,62.4078
ERP6,74.0678,66.8492,89.7416
CUL3,67.4631,63.6638,87.5053
PEX31,16.0059,15.6441,14.7619
PRP18,40.5189,41.4256,47.9788
ECT1,96.0905,100.041,98.0672
NMA2,57.6289,44.4109,81.0112
YGR012W,72.2091,80.8373,71.9389
SNU71,49.9907,58.1853,49.5194
MSB2,39.7458,45.3027,30.7922
YGR016W,26.5831,27.3536,29.9512
YGR017W,78.1902,79.1072,78.5228
UGA1,117.968,100.639,167.23
YGR021W,43.391,19.9465,68.182
MTL1,298.877,206.146,497.883
tD(GUC)G1,0,0,0
YGR026W,234.292,271.547,229.634
YGR027W-B,0.914786,0.779902,0.797887
tE(UUC)G3,0,0,0
MSP1,71.1755,58.7066,100.304
ERV1,320.332,351.984,368.092
snR46,17.7458,2.52141,31.5431
IMO32,51.1847,34.475,80.5642
GSC2,71.381,18.5743,146.541
RPL26B,1024.12,919.255,178.841
YGR035W-A,85.8822,100.978,87.7339
ORM1,73.9534,61.3726,84.1689
KSS1,44.7807,48.8204,46.8693
BUD9,29.4705,23.5443,35.6957
YGR042W,57.5867,53.8105,67.1238
TAM41,109.26,77.512,162.696
UFD1,106.843,129.55,96.2494
SCM4,200.43,221.197,199.005
FMP48,30.0148,39.7282,25.1669
YGR054W,89.2393,94.6601,73.7742
MUP1,184.521,14.2941,338.073
RSC1,34.9049,32.5937,40.7931
PEF1,84.6836,109.12,75.3605
SPR3,2.44102,4.05555,1.27175
snR48,0,0,0
ERG25,1011.67,1508.85,509.96
ROM1,18.0195,14.419,26.659
UPF3,79.29,103.726,66.3473
SMD1,227.584,350.818,137.976
YGR079W,16.3367,7.79086,22.2172
TWF1,120.53,141.874,122.1
TOM20,131.184,154.028,83.3879
CTT1,55.3999,102.751,23.8637
NNF2,67.3207,85.4776,59.2285
tT(UGU)G1,0,0,0
UTP22,37.6373,44.1666,23.353
PRP31,23.928,17.6925,31.0581
DBF2,63.6374,67.937,69.4292
DRN1,38.425,38.8198,39.4035
VAS1,320.038,345.737,312.746
TPC1,26.3123,19.9291,37.4124
ASK10,51.8065,87.4412,25.227
TEL2,21.0904,14.8789,28.0676
MDR1,67.0939,72.6791,78.5335
PCP1,81.0483,74.7855,102.764
NOP7,169.584,237.508,91.0688
VMA21,171.47,224.665,95.3907
tL(GAG)G,28.2171,0,43.2981
CLB1,47.5635,80.7168,23.9533
YGR109W-B,20.3729,16.1902,27.7838
CLD1,152.966,92.707,276.93
YGR111W,51.6782,45.8277,66.813
SHY1,59.9977,66.6379,64.9451
DAM1,56.9313,64.862,54.8029
SPT6,67.0786,83.2305,58.0519
RPS23A,1428.12,1538.23,460.1
tN(GUU)G,0,0,0
YGR121W-A,8.29987,8.40962,9.12412
YGR122W,49.9971,28.7399,80.9767
tR(UCU)G3,0,0,0
tI(AAU)G,0,0,0
ASN2,643.9,632.186,739.011
YGR125W,43.3262,41.127,51.3977
YGR126W,10.9534,9.62374,14.6014
YGR127W,60.1703,64.0793,73.0555
SYF2,72.1326,82.113,80.161
FHN1,20.0394,22.8952,21.3284
PEX4,72.8987,53.8439,104.592
CAF130,20.5353,23.0752,21.2407
PRE9,320.421,359.829,277.215
LSB1,233.741,273.486,220.56
CBF2,25.9964,19.9389,35.1248
VPS62,57.2702,23.9446,103.141
BTN2,173.52,38.4448,366.913
tA(AGC)G,0,0,0
SKN1,55.8716,33.5073,91.9925
SUF4,0,0,0
THI4,20.3051,24.4853,20.9591
ENP2,43.7362,46.1156,36.5145
YGR149W,114.516,101.574,159.459
tA(UGC)G,0,0,0
YGR153W,22.491,35.1592,13.8594
CYS4,287.555,308.641,208.278
PTI1,58.6472,74.7934,52.0393
CHO2,81.2834,47.6441,105.302
YGR161W-C,402.633,555.225,363.594
YGR161W-B,0,0,0
tV(AAC)G2,0,0,0
TIF4631,98.6988,95.7939,82.8775
GTR2,114.834,135.274,121.653
MRPS35,72.2157,63.4784,81.6302
TRS65,58.3499,97.6304,27.7954
CLC1,313.476,333.888,343.365
PSD2,39.3022,39.817,46.0362
RBG2,72.299,99.7303,44.1322
tG(GCC)G1,0,0,0
YGR174W-A,0,0,0
TIM13,111.436,89.5874,131.866
TFG1,109.419,117.489,118.584
tK(CUU)G3,0,0,0
HIP1,183.88,218.178,176.166
SKI6,79.3148,111.104,48.7738
YPP1,56.7234,81.4033,40.7606
PMT6,47.0812,33.0772,65.7489
YCH1,86.5825,49.3855,142.964
ADE3,637.752,803.836,533.33
TDA10,26.4705,15.7054,42.2729
MVB12,86.7408,109.792,67.3963
SER2,105.998,103.876,76.8371
ZPR1,149.354,156.175,141.315
SLI1,15.6892,10.9367,22.6254
RPS0A,1018.35,1133.7,506.528
RSM27,173.52,188.6,170.854
CCH1,9.39847,10.2914,8.93292
CRM1,129.486,127.172,158.338
PET54,70.0924,64.7585,82.7337
AZR1,12.7853,10.332,18.016
