Name,batchEntId,parentBoxPlateId,parentBoxPlateName,parentBoxPlatePos,volume,Concentration (ng/ul)
VIAL20548,,box_TeiHeGLT,p1,h3,,
VIAL20549,seq_q8krHEra,box_TeiHeGLT,p1,h4,50.0,300
VIAL20550,seq_S5nEtVQm,box_TeiHeGLT,p1,h5,50.0,300
VIAL20551,seq_5Ap5wYCs,box_TeiHeGLT,p1,h6,50.0,300
VIAL20552,seq_HJ747rJH,box_TeiHeGLT,p1,h7,50.0,300
VIAL20553,seq_zwbqAwdF,box_TeiHeGLT,p1,h8,50.0,300
VIAL20554,seq_jNP4VZFI,box_TeiHeGLT,p1,h9,50.0,75
VIAL20484,seq_AA4vOQs1,box_TeiHeGLT,p1,i1,50.0,300
VIAL20555,,box_TeiHeGLT,p1,i2,,
VIAL20556,,box_TeiHeGLT,p1,i3,,
VIAL20557,,box_TeiHeGLT,p1,i4,,
VIAL20558,,box_TeiHeGLT,p1,i5,,
VIAL20559,,box_TeiHeGLT,p1,i6,,
VIAL20560,,box_TeiHeGLT,p1,i7,,
VIAL20561,,box_TeiHeGLT,p1,i8,,
VIAL20562,,box_TeiHeGLT,p1,i9,,
VIAL21398,seq_i1uyQ0zo,box_lhTg6haI,o2,a1,100.0,10.0
VIAL21399,seq_5VhJR142,box_lhTg6haI,o2,a2,100.0,10.0
VIAL21400,seq_8CcWg1QW,box_lhTg6haI,o2,a3,100.0,10.0
VIAL21401,seq_luTqDbzH,box_lhTg6haI,o2,a4,100.0,10.0
VIAL21402,seq_nOJEOppX,box_lhTg6haI,o2,a5,100.0,10.0
VIAL21403,seq_uSyp5fQi,box_lhTg6haI,o2,a6,100.0,10.0
VIAL21404,seq_uFHl7oVO,box_lhTg6haI,o2,a7,100.0,10.0
VIAL21405,seq_7NpnY8oT,box_lhTg6haI,o2,a8,100.0,10.0
VIAL21406,seq_GzOI7sqt,box_lhTg6haI,o2,a9,100.0,10.0
VIAL21407,seq_HdQAAqGp,box_lhTg6haI,o2,b1,100.0,10.0
